,Event Date,Year,Month,Q,Quarter,Season,Day of Week,Time of Week,Number of Shows,Show Type,Headliner,Support,Number of Supporting Acts,Tickets Sold,Gross USD,Venue Capacity,Percent Tickets Sold,Minimum Ticket Price,Maximum Ticket Price,Ticket Range,Artist Start Date,Years Active,Artist Hometown,US Region,Local or Not,Miles From Home,Artist Genre,Main Genre,Hometown Latitude,Hometown Longitude
173,2009-07-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
174,2009-07-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
175,2009-07-31,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
176,2009-08-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
177,2009-08-02,2009,August,Q3,2009 Q3,Summer,Sunday   ,Weekday,1.0,single headliner,Sonic Youth,Awesome Color,1.0,2653.0,94762.0,2800.0,95.0,35.5,40.0,4.5,1983.0,26.0,"New York, New York, United States",Northeast,US,2563.4829219999997,Rock,alternative rock,40.7127281,-74.0060152
178,2009-08-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
179,2009-08-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
180,2009-08-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
181,2009-08-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
182,2009-08-07,2009,August,Q3,2009 Q3,Summer,Friday   ,Weekend,1.0,single headliner,Underworld,Damian Lazarus,1.0,1898.0,81750.0,2800.0,68.0,43.5,43.5,0.0,1988.0,21.0,"Romford, Havering, London, England, United Kingdom",International,International,5367.260075,Electronic,progressive house,51.5746268,0.1822306
183,2009-08-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
184,2009-08-09,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
185,2009-08-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
186,2009-08-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
187,2009-08-12,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
188,2009-08-13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
189,2009-08-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
190,2009-08-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
191,2009-08-16,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
192,2009-08-17,2009,August,Q3,2009 Q3,Summer,Monday   ,Weekday,1.0,single headliner,Third Eye Blind,The Upwelling,1.0,2043.0,60306.0,2800.0,73.0,29.5,30.0,0.5,1997.0,12.0,"San Francisco, California, United States",West Coast,Local,8.441115687,Rock,alternative rock,37.7790262,-122.4199061
193,2009-08-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
194,2009-08-19,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
195,2009-08-20,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
196,2009-08-21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
197,2009-08-22,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
198,2009-08-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
199,2009-08-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
200,2009-08-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
201,2009-08-26,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
202,2009-08-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
203,2009-08-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
204,2009-08-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
205,2009-08-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
206,2009-08-31,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
207,2009-09-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
208,2009-09-02,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
209,2009-09-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
210,2009-09-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
211,2009-09-05,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
212,2009-09-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
213,2009-09-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
214,2009-09-08,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
215,2009-09-09,2009,September,Q3,2009 Q3,Autumn,Wednesday,Weekday,2.0,multiple shows,Yeah Yeah Yeahs,No support,0.0,2674.5,95210.5,2800.0,96.0,35.5,40.0,4.5,2003.0,6.0,"New York, New York, United States",Northeast,US,2563.4829219999997,Indie,indie rock,40.7127281,-74.0060152
