Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2016-10-13,1,Schoolboy Q,"DJ Amack Armon, Joey Bada$$",2716.0,122425.0,122425.0,US DOLLAR,2800.0,97.0,45.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-14,2,Seven Lions,"Grum, Pegboard Nerds, Unlike Pluto",2638.5,61781.5,123563.0,US DOLLAR,2800.0,94.5,20.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-15,2,Seven Lions,"Grum, Pegboard Nerds, Unlike Pluto",2638.5,61781.5,123563.0,US DOLLAR,2800.0,94.5,20.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-16,1,Hannibal Buress,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-18,1,Bon Iver,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-19,1,Bon Iver,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-20,1,Bon Iver,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-22,1,Young The Giant,Ra Ra Riot,2800.0,82600.0,82600.0,US DOLLAR,2800.0,100.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-27,2,Pet Shop Boys,,2685.0,166826.5,333653.0,US DOLLAR,2685.0,100.0,49.5,70.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-28,2,Pet Shop Boys,,2685.0,166826.5,333653.0,US DOLLAR,2685.0,100.0,49.5,70.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-04,1,Goldroom / Autograf,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-11-05,1,Bob Moses,"Harrison Brome, Sebastian Mullaert, Shiny Objects",2107.0,62371.0,62371.0,US DOLLAR,2800.0,76.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-06,2,Joan Baez,,1860.0,127525.0,255050.0,US DOLLAR,1860.0,100.0,55.0,85.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-07,2,Joan Baez,,1860.0,127525.0,255050.0,US DOLLAR,1860.0,100.0,55.0,85.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-09,1,Mac Miller,"Andre Power, ClockworkDJ",2586.0,90545.0,90545.0,US DOLLAR,2800.0,93.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-11,1,Cherub,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-11-12,1,Joe Russo's Almost Dead,,2600.0,98030.0,98030.0,US DOLLAR,2800.0,93.0,37.5,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-15,1,Amos Lee,T Sisters,1549.0,83927.0,83927.0,US DOLLAR,1849.0,84.0,49.5,70.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-16,1,Neko Case,"Eric Bachmann, Jon Rauhouse",1517.0,69862.0,69862.0,US DOLLAR,1849.0,83.0,46.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-18,1,Iration,"The Expendables, Through The Roots",2527.0,75031.0,75031.0,US DOLLAR,2800.0,91.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-19,2,Sturgill Simpson,The London Souls,2819.0,98697.5,197395.0,US DOLLAR,2819.0,100.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-20,2,Sturgill Simpson,The London Souls,2819.0,98697.5,197395.0,US DOLLAR,2819.0,100.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-23,1,Jai Wolf,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-11-25,2,YG,"Kamaiyah, RJ, Sad Boy",2869.0,87520.0,175040.0,US DOLLAR,2869.0,100.0,30.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-28,2,YG,"Kamaiyah, RJ, Sad Boy",2869.0,87520.0,175040.0,US DOLLAR,2869.0,100.0,30.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-11-30,1,The Naked And Famous,"The Chain Gang Of 1974, XYLO",2199.0,65036.0,65036.0,US DOLLAR,2800.0,79.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-12-01,2,Two Door Cinema Club,Broods,2769.0,96992.5,193985.0,US DOLLAR,2800.0,99.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-12-02,2,Two Door Cinema Club,Broods,2769.0,96992.5,193985.0,US DOLLAR,2800.0,99.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-12-03,1,Beats Antique,Devotchka,2777.0,97620.0,97620.0,US DOLLAR,2800.0,100.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-12-09,1,Yasiin Bey aka Mos Def,"Jallal, Reggie Watts",2800.0,111974.0,111974.0,US DOLLAR,2800.0,100.0,40.5,45.0,Fox Theater,Oakland,CA,United States,"Ankh Marketing, Another Planet Entertainment"
